epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.7924,1.07394,2.93092,1.21999,0.00533,0.94118,0.42649,0.22412,0.82192,3.00284,1.31325,4e-05,4e-05,4e-05
2,35.9603,1.02146,2.71353,1.16923,0.00533,0.94118,0.52318,0.39572,0.8471,2.9129,1.30911,9.901e-05,9.901e-05,9.901e-05
3,52.3564,0.94611,2.1629,1.15631,0.00567,1,0.55072,0.4289,0.75775,2.80484,1.18173,0.000156832,0.000156832,0.000156832
4,65.862,1.00006,1.69486,1.14167,1,0.33443,0.49474,0.32851,1.02233,2.72767,1.30104,0.000213466,0.000213466,0.000213466
5,80.3641,1.03994,1.75402,1.21702,1,0.2174,0.47761,0.28006,1.41075,2.91474,1.56415,0.000268912,0.000268912,0.000268912
6,93.9834,0.93346,1.43022,1.11095,1,0.22836,0.49162,0.30508,1.51069,2.89519,1.65611,0.00032317,0.00032317,0.00032317
7,106.589,0.9425,1.40389,1.06689,0.43718,0.47059,0.48939,0.3352,1.58076,2.95601,1.72627,0.00037624,0.00037624,0.00037624
8,119.254,0.91243,1.4644,1.05184,0.31051,0.52983,0.41328,0.27661,1.51952,2.95569,1.75564,0.000428122,0.000428122,0.000428122
9,132.233,0.97382,1.37844,1.07958,0.51325,0.23529,0.3243,0.23823,1.56845,3.09186,1.84183,0.000478816,0.000478816,0.000478816
10,145.105,0.81988,1.15982,1.00664,0.51298,0.18716,0.28899,0.2225,1.62244,3.13671,1.91053,0.000528322,0.000528322,0.000528322
11,157.935,0.91305,1.35934,1.09908,0.31135,0.23529,0.28889,0.22243,1.83657,3.27634,2.10582,0.00057664,0.00057664,0.00057664
12,170.722,0.91613,1.27139,1.04488,0.50276,0.35294,0.34019,0.25814,1.8224,3.21497,2.06294,0.00062377,0.00062377,0.00062377
13,183.452,0.96724,1.26257,1.05964,0.95157,0.17647,0.43971,0.29766,1.80611,3.09241,2.08811,0.000669712,0.000669712,0.000669712
14,196.087,0.97654,1.25189,1.10973,1,0.16393,0.39805,0.31068,1.74477,3.18195,2.07998,0.000714466,0.000714466,0.000714466
15,209.376,1.00485,1.3574,1.18551,0.75867,0.11765,0.29901,0.17862,2.25705,3.48172,2.37992,0.000758032,0.000758032,0.000758032
16,223.755,0.99211,1.38804,1.1356,0.71891,0.11765,0.29335,0.17298,2.30802,3.53613,2.48061,0.00080041,0.00080041,0.00080041
17,239.285,0.93711,1.26617,1.06513,1,0.1153,0.21478,0.12469,2.64006,3.81166,2.69871,0.0008416,0.0008416,0.0008416
18,252.904,0.90055,1.29619,1.06985,0.69396,0.13691,0.2585,0.14779,2.38609,3.3595,2.51082,0.000881602,0.000881602,0.000881602
19,265.867,0.90768,1.21827,1.0923,0.62622,0.29412,0.33551,0.21505,2.0728,2.98911,2.19084,0.000920416,0.000920416,0.000920416
20,278.97,0.90997,1.19357,1.04882,0.65976,0.29412,0.3645,0.19691,2.15711,2.97054,2.5967,0.000958042,0.000958042,0.000958042
21,291.818,0.87089,1.15691,1.05351,0.65194,0.35294,0.29106,0.16525,2.13035,3.12816,2.68671,0.00099448,0.00099448,0.00099448
22,305.04,0.93316,1.16563,1.12069,0.43562,0.29412,0.25399,0.16771,2.18088,3.01577,2.6902,0.00102973,0.00102973,0.00102973
23,320.037,0.83972,1.10404,1.03067,0.41303,0.29412,0.23475,0.1477,2.28271,2.96616,2.75782,0.00106379,0.00106379,0.00106379
24,332.995,0.91954,1.17375,1.07971,0.24932,0.23529,0.19538,0.13106,2.22826,2.97077,2.70931,0.00109667,0.00109667,0.00109667
25,346.24,1.00701,1.21018,1.12576,0.3951,0.19349,0.19981,0.14298,1.94548,2.96658,2.3458,0.00112835,0.00112835,0.00112835
26,359.336,0.8463,1.14452,1.03966,0.56646,0.11765,0.17721,0.12523,2.03262,3.06369,2.28418,0.00115885,0.00115885,0.00115885
27,372.221,1.01196,1.15952,1.0898,0.50906,0.17647,0.2693,0.19187,1.81778,2.85502,1.99177,0.00118816,0.00118816,0.00118816
28,385.866,0.87119,1.16267,1.04897,0.53841,0.41169,0.3592,0.25837,1.73197,2.71592,1.972,0.00121628,0.00121628,0.00121628
29,398.576,0.91112,1.26272,1.12543,0.53841,0.41169,0.3592,0.25837,1.73197,2.71592,1.972,0.00124322,0.00124322,0.00124322
30,412.018,0.87596,1.21438,1.06146,0.67054,0.41176,0.40466,0.319,1.58663,2.6253,1.85505,0.00126896,0.00126896,0.00126896
31,424.851,0.89222,1.09623,1.07618,0.45023,0.41176,0.398,0.25092,1.90717,3.09496,2.42985,0.00129352,0.00129352,0.00129352
32,437.386,0.86714,1.08285,1.05448,0.5355,0.47059,0.41732,0.27444,1.83206,3.03129,2.48768,0.00131689,0.00131689,0.00131689
33,450.213,0.92749,1.13362,1.09611,0.5355,0.47059,0.41732,0.27444,1.83206,3.03129,2.48768,0.00133907,0.00133907,0.00133907
34,463.201,0.90008,1.09843,1.08096,0.85878,0.41176,0.47029,0.33083,1.72718,2.60171,2.25106,0.0013466,0.0013466,0.0013466
35,475.911,0.99093,1.09003,1.14112,0.82858,0.35294,0.41215,0.29318,1.73386,2.87349,2.19481,0.0013268,0.0013268,0.0013268
36,488.685,0.83843,0.97281,1.00223,0.35934,0.41176,0.28486,0.21926,1.83197,3.32233,2.25197,0.001307,0.001307,0.001307
37,501.419,0.89021,1.04926,1.07095,0.35934,0.41176,0.28486,0.21926,1.83197,3.32233,2.25197,0.0012872,0.0012872,0.0012872
38,514.325,0.89727,1.12868,1.10536,0.29666,0.41176,0.19866,0.14485,1.83901,3.89714,2.40945,0.0012674,0.0012674,0.0012674
39,527.15,0.84054,1.03628,1.03445,0.34355,0.52941,0.29539,0.21752,1.68054,3.44624,2.27231,0.0012476,0.0012476,0.0012476
40,539.776,0.86932,0.99878,1.05906,0.44803,0.52941,0.35649,0.2752,1.4775,3.0484,2.01098,0.0012278,0.0012278,0.0012278
41,552.426,0.91079,1.00552,1.09449,0.44803,0.52941,0.35649,0.2752,1.4775,3.0484,2.01098,0.001208,0.001208,0.001208
42,565.19,0.79693,0.95662,1.02506,0.37883,0.47059,0.34738,0.28645,1.39491,3.24942,2.1201,0.0011882,0.0011882,0.0011882
43,578.188,0.92488,1.02053,1.12587,0.44064,0.47059,0.34065,0.29085,1.39449,3.00927,2.1873,0.0011684,0.0011684,0.0011684
44,591.291,0.84848,0.96137,1.07097,0.43401,0.47059,0.32329,0.24525,1.51932,2.95928,2.36956,0.0011486,0.0011486,0.0011486
45,604.49,0.90198,0.97142,1.08419,0.43401,0.47059,0.32329,0.24525,1.51932,2.95928,2.36956,0.0011288,0.0011288,0.0011288
46,617.404,0.87644,0.93634,1.08642,0.53007,0.52941,0.41541,0.27822,1.71362,2.70406,2.42361,0.001109,0.001109,0.001109
47,688.961,0.78089,0.91596,0.99032,0.64843,0.52941,0.53899,0.31747,1.70401,2.12519,2.08403,0.0010892,0.0010892,0.0010892
48,702.174,0.88047,0.99905,1.06394,1,0.51939,0.567,0.34893,1.57922,1.90209,1.75505,0.0010694,0.0010694,0.0010694
49,715.259,0.77365,0.93694,0.99665,1,0.51939,0.567,0.34893,1.57922,1.90209,1.75505,0.0010496,0.0010496,0.0010496
50,728.279,0.7516,0.87963,0.97893,0.56606,0.47059,0.51548,0.32993,1.46042,1.99311,1.65898,0.0010298,0.0010298,0.0010298
51,741.272,0.80557,0.88601,1.04166,0.7962,0.35294,0.43818,0.29396,1.44645,2.20624,1.62705,0.00101,0.00101,0.00101
52,754.49,0.82781,0.93234,1.0545,0.49655,0.46451,0.44222,0.29387,1.46443,2.09473,1.62601,0.0009902,0.0009902,0.0009902
